ticker,n_trades,n_years,win_rate,win_rate_target,win_rate_target_robust,pct_exit_take,pct_exit_stop,pct_exit_time,ret_total,ret_ann_pct,bh_ann_pct,alpha_ann_pp,mdd_pct,sharpe,big_wins_pct,big_losses_pct,wr_non_target_pp,wr_non_target_robust_pp
HGRE11.SA,25,26.8,36.0,48.0,48.0,48.0,52.0,0.0,-0.1442,-0.58,1.78,-2.36,14.42,-0.575,0.0,8.0,-12.0,-12.0
AXIA6.SA,14,26.8,35.71,28.57,28.57,28.57,71.43,0.0,-0.1129,-0.45,9.44,-9.88,14.21,-0.187,7.14,50.0,7.140000000000001,7.140000000000001
BCIA11.SA,14,26.8,28.57,28.57,28.57,28.57,71.43,0.0,-0.1369,-0.55,0.8,-1.35,13.69,-0.408,0.0,14.29,0.0,0.0
CMIG4.SA,7,26.8,28.57,28.57,28.57,28.57,71.43,0.0,-0.1175,-0.47,9.1,-9.56,12.44,-0.307,0.0,57.14,0.0,0.0
LREN3.SA,8,26.8,25.0,25.0,25.0,25.0,75.0,0.0,-0.1221,-0.48,10.52,-11.0,12.21,-0.454,0.0,50.0,0.0,0.0
VULC3.SA,4,26.8,25.0,25.0,25.0,25.0,75.0,0.0,-0.1559,-0.63,-1.63,1.0,18.5,-0.394,0.0,75.0,0.0,0.0
AGRO3.SA,13,26.8,23.08,46.15,46.15,46.15,53.85,0.0,-0.1175,-0.47,5.55,-6.01,12.39,-0.408,0.0,23.08,-23.07,-23.07
USIM5.SA,5,26.8,20.0,20.0,20.0,20.0,80.0,0.0,-0.1735,-0.71,-0.69,-0.02,17.35,-0.549,0.0,80.0,0.0,0.0
GGBR4.SA,5,26.8,20.0,20.0,20.0,20.0,80.0,0.0,-0.1455,-0.59,7.56,-8.15,14.55,-0.466,0.0,80.0,0.0,0.0
CSMG3.SA,7,26.8,14.29,14.29,14.29,14.29,85.71,0.0,-0.1456,-0.59,11.77,-12.36,14.56,-0.717,0.0,57.14,0.0,0.0
RBRP11.SA,7,26.8,14.29,14.29,14.29,14.29,85.71,0.0,-0.1974,-0.82,-0.19,-0.62,19.74,-0.565,0.0,42.86,0.0,0.0
GOAU4.SA,3,26.8,0.0,0.0,0.0,0.0,100.0,0.0,-0.1295,-0.52,2.83,-3.35,12.95,-2.406,0.0,100.0,0.0,0.0
